name,description,channel_id,date_subscribed
Kiesza,"There was once a myth that was passed down through ancient folklore, of a Canadian girl who found her hideaway dancing down the streets of Brooklyn. Not much is known of this girl. Not for real. But the giant in my heart longed to know more. So I went searching. And what I found was so much more than I ever could have imagined! 

But the truth is a very dangerous road to walk. As I chased the sound of a woman through a spiralling abyss of wonder, where I once had no enemiesz, I was faced with a new shadow. A darkness that I always knew was there. It was she - hiding in a distant call, deep within myself. It was then that I realized the truth…",UC-h7O5eERbl6lLuOgYJ0GbQ,2018-04-07T12:52:41.438078Z
Armin Ronacher,,UC-mexo-76-J1MlQM8NkWCYw,2025-07-11T18:28:51.441629Z
inter STEM,"This is a channel where we talk about the different aspects of STEM with the people involved. We're sharing our varied perspectives and ideas in order to shed more light on STEM, and contribute to its development.",UC-qYS_P9NvSRoWYUsV2FmYQ,2019-06-26T17:47:35.929117Z
Lorna’s Odyssey,"🌍 Your trusted guide to travel and reviews ✈️
Welcome to Lorna’s Odyssey — where every journey tells a story and every experience gets a real, honest rating. I explore it all so you can roam smarter.If you love discovering the world you’re in the right place. Let’s make every adventure worth it.

📌 Follow my journey:",UC-sUMhxsSlreSuCcnyz6GzA,2022-03-18T15:41:54.18832Z
Elani Muziki,"Official YouTube Channel for Kenyan band, Elani!

Contact us through elanibookings@gmail.com",UC-upv67O6BrZuKh1HRIq6zg,2014-09-23T13:20:35Z
Jaden,𝐑𝐄𝐃,UC-w7D3GsJecTHA8Sjcyn6sQ,2018-05-11T01:07:20.059515Z
Justin Timberlake,"Official YouTube channel of the quintessential pop star of the new millennium, an artist who jumped from platform to platform on his way to establishing himself as something bigger than a star but an empire: Justin Timberlake.",UC-y8ci7xfsu4L3zkSuHae0A,2018-02-19T00:00:07.748383Z
Lupe Fiasco,"Lupe Fiasco's new album 'Samurai' is out June 28th

lupefiasco.com | thirtytigers.com",UC-zD8J0RLWy3mNB7EMmT7Rg,2018-04-07T12:52:41.629698Z
Jason Carman,"Story inspires science, science make story real.",UC0-7PyfpOIJpNyi8WrHiyXA,2024-11-02T09:53:00.910574Z
Lush Angela ,"""i aspire to inspire before i expire!""

I got game on words like a playa on chicks...a profound thinker...i am sure you'll always take something from what i share....if you feel compelled to share with others also please do because then your helping me fulfill my destiny which is to plant positiveness, hope and joy to as many as living souls as possible...",UC0-d91gliJem6wiVxdOk-FQ,2018-01-18T11:45:17.70008Z
UKE Webcast,Navigating womanhood,UC04eIolJQdMumzZHm7CSPtw,2019-09-20T17:50:57.253781Z
Lady Gaga,"Lady Gaga on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC07Kxew-cMIaykMOkzqHtBQ,2018-05-11T01:07:20.039777Z
Kelly Rowland,"Kelly Rowland on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC07uqt5ztuV24oyt9wsS9BQ,2017-07-03T20:04:58Z
Nairobi Legal-Insights,Hub for civic education:,UC08WxkXfR5bhTm_Qm_Pybwg,2020-07-04T15:25:29.052105Z
Fifth Harmony,"Fifth Harmony on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC09d82usokACH1z5YeKnfiA,2018-04-17T01:10:49.188621Z
Ed Sheeran,"Ed Sheeran x

Play - Out Now",UC0C-w0YjGpqDXGB8IHb662A,2019-05-05T23:26:13.443135Z
Tony Cruize International,All gifts are God given and everyone has a chance to exercise and grow it to higher levels. Your gift will make you dine with kings. God's favour will sustain you there and His anointing will make you glorious. Let everything that has breath PRAISE THE LORD.,UC0FFA49Y7dFUJiw3D_bb7vg,2020-12-24T18:48:08.816953Z
MeGaLink EnT,,UC0GBNuLdVJTPeykC78GaVPg,2019-01-25T09:42:38.292325Z
Flick-Dee,"Lifestyle,Productivity,Wellness,Study,Pilates,Beauty🎀🩰

ℍ𝕚𝕚𝕚𝕚, 𝕀'𝕞 16  𝕝𝕚𝕧𝕚𝕟𝕘 𝕚𝕟 𝕌𝕟𝕚𝕥𝕖𝕕 𝕂𝕚𝕟𝕘𝕕𝕠𝕞, 𝕎𝕖𝕝𝕔𝕠𝕞𝕖 𝕥𝕠 𝕞𝕪 𝕝𝕚𝕗𝕖.

💌flickdeecontact@gmail.com

♥Tiktok : @flick.dee

♥Instagram : @flickdee_",UC0IxgXRojvs1PnuE4jVZWIQ,2025-01-05T10:41:40.991942Z
DJ Khaled,,UC0Kgvj5t_c9EMWpEDWJuR1Q,2018-04-07T12:52:41.682668Z
Blu ink Limited,,UC0LGWoPBSWEnyGgAY2Q7nCQ,2019-05-18T07:31:13.504093Z
Lord Douglas,"My creative escape.
I am videos on beauty, fashion and lifestyle. join the fam",UC0SS6ev79EHQF2_yjFmTXIA,2017-03-06T06:49:12Z
Blackstreet,Blackstreet's official YouTube channel!,UC0TesRD9REyVUrwAGgJpv3A,2022-08-18T22:33:58.684666Z
Ariana Grande,Listen & download positions: https://arianagrande.lnk.to/positions,UC0VOyT2OCBKdQhF3BAbZ-1g,2018-04-16T01:05:18.75829Z
The Weeknd,"Official YouTube channel for The Weeknd.
www.theweeknd.com",UC0WP5P-ufpRfjbNrmOWwLBQ,2020-01-15T01:40:47.78161Z
stankika,,UC0a1sLoPf7XjtoSHd8jQGQA,2018-05-11T13:06:42.249553Z
Godsmack,"Godsmack's new album 'When Legends Rise' feat. ""Bulletproof"" available April 27, 2018",UC0a4ZRoauYMqgllbEbFBnaw,2018-04-16T01:05:18.446895Z
Jean Wandimi,"Senior Content Marketing Strategist | Content Writer | I teach you about digital writing, blogging and creating great content. I talk about content writing | content marketing | digital marketing",UC0cZd8GCm9_pN-LLG1UoEFA,2019-04-15T21:04:50.262755Z
Noisey,"Noisey. Music by VICE. A channel focused on showcasing the unheard and unseen of the music world. From music’s biggest acts to musicians on the verge, Noisey uses music as a lens to investigate the movements, scenes, and stories that drive culture.",UC0iwHRFpv2_fpojZgQhElEQ,2016-03-12T11:14:59Z
Seether,"Seether’s new album “The Surface Seems So Far"" is OUT NOW via Fantasy Records.

https://ffm.to/seether-thesurfaceseemssofar

https://ffm.link/seether-officialsite
https://ffm.link/seether-instagram
https://ffm.link/seether-facebook
https://ffm.link/seether-tiktok
https://ffm.link/seether-x

Sign up to our newsletter to receive dangerously good band content: https://ffm.link/seether-newsletter",UC0lhr4dvpfKJ0C3TPFXu3ww,2018-04-16T01:05:18.101813Z
Sean Paul,"Sean Paul on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC0p5tBJyylhgBXS9BhjWmow,2019-03-21T23:41:26.751134Z
50 Cent,"50 Cent on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC0sL86jDLgs2fGRD-XBnPQA,2018-04-11T22:58:21.420462Z
Omarion,"Listen Now: FOR WAR
https://createmusic.fm/forwar",UC0t3ejibUQ91s12D4NAaU7A,2015-08-24T12:58:51Z
Metro Station,,UC0tzUM3hk6v9mv5DVk3wOEQ,2018-04-16T01:05:18.019108Z
REACT,"Welcome to REACT, where we experience pop culture, music and movies through the Internet's freshest eyes!

REACT: http://www.youtube.com/REACT
PEOPLE VS FOOD: http://www.youtube.com/PEOPLEVSFOOD
BULLSEYE: https://www.youtube.com/@REACTbullseye
ReactCAST: http://www.youtube.com/@ReactCASTOfficial
TEENS REACT: https://www.youtube.com/@TeensReactOfficial",UC0v-tlzsn0QZwJnkiaUSJVQ,2015-07-30T07:59:16Z
VILLAINOUS WAYS ENT.,"Kenyan-Based Music Group and Record Label . Consisting of TheBoyBleezy , Tratic & Madra",UC0vGhAWf6iy-30wnLOp2Ejw,2019-05-10T18:47:10.084285Z
thelonelyisland,,UC0yf3gy_gXecL2PsPbXj-Dg,2018-04-16T01:05:18.155807Z
Joanna Kinuthia,"Just a girl who loves makeup, hoping to infect you with some of the love!",UC1--esjL8W6RCKjtYMncn4A,2017-05-04T11:49:44Z
Elodie Zone,,UC10U_Zbzr-Bw0KaN5_hmpIw,2018-01-21T09:00:39.805996Z
CGPGrey2,The CGP Grey alt channel.,UC127Qy2ulgASLYvW4AuHJZQ,2016-03-15T18:27:18Z
Natasha Gecau-Kuria,,UC18FRA0x7kiZXxNSk-9nhBA,2016-05-31T20:58:46Z
OK Go,"OK Go is a band. This YouTube channel is for their stuff. Contained therein: new videos, old videos, making-of videos, 3D videos, unreleased songs, Tim & Dan reenacting scenes from Pretty in Pink and Star Wars and Casino, the odd message from Damian, a tweet-pixelated pop-up show from Brazil, the fabulous adventures of Mr. OK Go Head, some bits with Muppets, puppies. Please enjoy.

---

""OK Go is the polymath band who -- with only five bucks and a camcorder -- did what none of the giant record labels could, inventing a new way for a band to connect with fans and changing the way people think about music and the Internet."" - Ira Glass",UC194cPvPaGJjhJBEGwG6vxg,2018-01-12T19:46:39.682498Z
Jordan Harrod,"Exploring the ways that we interact with artificial intelligence, algorithms, and other new technologies every day, for better or for worse. 

Hi! I’m Jordan, and I’m a graduate student at Harvard and MIT researching brain-machine interfaces and machine learning for medicine. I’ve always been interested in the ways that we increasingly interact with AI and algorithms, from social media, to education, to the military, and much more! Subscribe to my channel to join me on a journey through their uses in our everyday lives. 

New video every Monday!",UC1H1NWNTG2Xi3pt85ykVSHA,2021-02-23T14:22:35.115848Z
alpha m.,"My Website http://alpham.com
Send Product Review Requests & All Business Requests to: info@aaronmarino.com 
All advertising inquiries can be directed to Terry@MENfluential.com 

alpha m. Image Consulting was launched back in 2006 by founder Aaron Marino.  Aaron realized that there was a lack of resources and options for men to receive real world help and advice in regards to their image, style and grooming.  Our goal is to help you look and feel the best that you can...every day of your life.  Alpha M. strives to offer a positive and uplifting voice in a sea of negativity.
http://www.iamalpham.com

http://www.alphamapp.com/

http://www.aaronmarino.com

http://www.peteandpedro.com

http://www.MENfluential.com",UC1KbedtKa3d5dleFR6OjQMg,2014-12-08T11:19:46Z
Asianometry,"Video essays on business, economics, and history. Sometimes about Asia, but not always. 

For general mail: hello@asianometry.com
For business inquiries: business@asianometry.com

I don't have an Asianometry Telegram. Don't fall for comment scams on YouTube, please.",UC1LpsuAUaKoMzzJSEt5WImw,2024-03-07T09:57:50.720368Z
Yemi Alade,"Yemi Alade on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC1NlvNg7p6m1kFuudR2UZ0w,2018-04-18T23:45:26.840311Z
Avicii,In loving memory of Tim “Avicii” Bergling (1989-2018).,UC1SqP7_RfOC9Jf9L_GRHANg,2018-04-13T00:13:59.506785Z
Freshlyground,"Afro-fusion sounds, multilingual lyrics, post-apartheid multiracial South African music heroes... Freshlyground are a band of diverse African musicians based in Cape Town.",UC1XPYW65EJZ4K7gG5EnMmeQ,2017-12-08T08:27:32Z
What about it!?,"This is “What about it!?” Your #1 address for Space News!

My name is Felix, and this is WAI! All about Space & Science, we condense the most important Space Topics down every week so that you don't miss a thing! Join us in following the second Space Race! Let's dive right in!

Become a Patron: https://wai.to/Patreon
Pick up some merch: https://wai.to/shop
Get a Tesla: https://wai.to/Tesla
Join me on Facebook: https://wai.to/Facebook
Follow me on X & Instagram: https://wai.to/Instagram
Visit the Website: www.whataboutit.space

And don't forget to click that subscribe button! ;)",UC1XvxnHFtWruS9egyFasP1Q,2025-01-16T13:48:31.291044Z
TheQueenArrow98,,UC1gDadxlBoyaE7WMazEmfhg,2020-04-10T11:57:49.917285Z
BrickAndLaceVEVO,,UC1l6b9JinVsPopWPv49XS3g,2016-05-21T12:01:08Z
David Guetta,"The OFFICIAL YouTube channel for David Guetta. All your favorite music videos, lyric videos, documentaries, and behind-the-scenes access in one location. Make sure you subscribe and keep checking back for updates regularly.",UC1l7wYrva1qCH-wgqcHaaRg,2014-10-16T17:12:44Z
NYT Cooking,"All the food that’s fit to eat (yes, it’s an official New York Times production).",UC1rIOwTqDuWkFj87HZYRFOg,2024-04-19T19:56:35.609828Z
BIGPIN,"Bigpin is an award-winning performing artist, songwriter, content creator, digital marketing specialist and actor from Nairobi. The charismatic lyricist is a trailblazer of Kenya’s Urban Hip Hop and Kapuka sound. As one of the pioneers of this music revolution, he played a pivotal role in shifting the local entertainment scene from Western-dominated airwaves to homegrown Kenyan beats, sparking a mass cultural movement toward embracing local music. His efforts saw him crowned as the Best Male Artist in East Africa at the prestigious KORA Awards in 2004.

Bigpin’s music transcended borders, taking him to stages across the globe. His international tours and performances have helped carry Kenyan music to new audiences while strengthening his connection with the diaspora.",UC1vt8oL9n_V-DGQZJL7mdgA,2023-09-06T12:59:48.82221Z
Wu-Tang Clan,"The Wu-Tang Clan is an American hip hop group from Staten Island, New York City, originally composed of East Coast rappers RZA, GZA, Ol' Dirty Bastard, Method Man, Raekwon, Ghostface Killah, Inspectah Deck, U-God and Masta Killa. Cappadonna later became an official member of the group. The Wu-Tang Clan has released four gold and platinum studio albums. Its 1993 debut album, Enter the Wu-Tang (36 Chambers), is considered to be one of the greatest albums in hip-hop history.

The Wu-Tang Clan has introduced and launched the careers of a number of affiliated artists and groups, often collectively known as the Wu-Tang Killa Bees, and has been described as one of the most influential hip-hop groups of all-time. In 2008, About ranked them ""the No. 1 greatest hip hop group of all time"". Kris Ex of Rolling Stone called Wu-Tang Clan ""the best rap group ever"".  In 2004, NME hailed them as one of the most influential groups of the last ten years.",UC1wNaX00osCIK4VjwboFqzA,2018-10-17T22:54:37.243036Z
Sabine Hossenfelder,"As simple as possible, but not any simpler! Science and technology updates and summaries. No hype, no spin, no tip-toeing around inconvenient truths. Currently 5 videos a week (Tue-Wed-Thu and Sat-Sun). Early access for channel members.

Sabine Hossenfelder has a PhD in physics. She is author of the books ""Lost in Math: How Beauty Leads Physics Astray"" (Basic Books, 2018) and ""Existential Physics: A Scientist's Guide to Life's Biggest Questions"" (Viking, 2022).

Views are my own and do not represent any institution.

Represented by Media Mobilize.",UC1yNl2E66ZzKApQdRuTQ4tw,2024-10-11T17:43:56.200657Z
This is Meggy,Visual Diary of a Fitness girlie in her 20s😊😊,UC2051jHCd7jzJxL_APr8csw,2018-07-09T18:38:20.857007Z
Donald Glover,nobody gives a fuck,UC20LoHy2mX0LQODrkUalxVQ,2017-08-29T13:30:34Z
EminemMusic,"Eminem on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC20vb-R_px4CguHzzBPhoyQ,2020-03-11T01:11:49.259155Z
Taio Cruz,"Taio Cruz on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC24cEEOOAANlu35I1VvBApg,2018-04-19T22:41:20.022332Z
Traversy Media,"Traversy Media features the best online web development and programming tutorials for all of the latest web technologies from the building blocks of HTML, CSS & JavaScript to frontend frameworks like React and Vue to backend technologies like Node.js, Python and PHP",UC29ju8bIPH5as8OGnQzwJyA,2019-10-27T08:50:30.620478Z
Cancel Court,"Cancel Court is an improv comedy courtroom show where two comedians battle head to head as attorneys and conduct a trial to determine if a celebrity or popular debate should be “canceled”. The comedians will present their case before the judge and jury, who will give the final ruling based on the facts presented. 

Cancel Court is produced by: Defiant Digital Studios",UC2AYFtCwYiTsmoSx1s1c5eg,2023-06-06T22:38:38.064362Z
CGP Grey,,UC2C_jShtL725hvbm1arSV9w,2014-08-28T08:32:14Z
Sportskeeda Wrestling,,UC2D3QFry7EPoy2ELTCSaJ7Q,2024-07-03T22:31:52.847273Z
Muthoni Muchiri,"Welcome to my channel! Happy to have you here!
I upload every time a video goes up!lol #commitmentissues
Sometimes travel, sometimes food, sometimes funny :P
Karibu! x",UC2J4kS0RKfXtOik9Zi7whOg,2016-04-25T22:23:08Z
Not Boring Radio,"For the smart, curious listener.

Shows: 
Age of Miracles
Not Boring Founders
Deeper Dives
Hyperlegible
Anton Teaches Packy AI",UC2JxiAx6XIoPz3jGUalXcbQ,2023-11-27T13:54:45.223984Z
Mbithi TV,Mbithi Official YouTube Channel,UC2MJ2Bo5ZT9ps17b6ON_SdA,2019-02-07T19:59:42.825168Z
Atemi Music,,UC2MogzH-9tzMa6GLdvupuUw,2016-04-11T18:47:57Z
Bahati Kenya,,UC2O6vD7gjgZIXKVegD6qOHA,2016-06-29T19:50:55Z
CartoonHooligans,We are CARHOO!. We make funny animations and parodies!,UC2PaSHNwAi0zxf_jM_Atsqg,2015-05-26T08:53:29Z
Swinky,Music and general silliness by a Kenyan in Los Angeles,UC2SykxDoPQAECGFQJ962eBA,2017-09-08T18:59:44Z
Kaluhi's Kitchen,"Hey there! Come on a culinary journey with me where we shall make the tastiest meals, using easy recipes and readily available ingredients. I hope to build your kitchen confidence, encourage brilliant cooking, and inspire you to share laughs over a fantastic meal!

Subscribe, share and of course, enjoy :))",UC2T_WoqzVMBQqwRc3_ilXhA,2018-01-02T09:23:10.807651Z
Tunji,Since day one it's been about the music and it will remain so till the end. Thank you for being a part of my journey. I LOVE YOU ALL.,UC2Tosi5GGgYTJ7Qd-pz8INA,2017-08-10T10:12:30Z
Tina Huang,"Hi! My name is Tina and I’m an ex-Meta data scientist.

This channel is about AI, coding, tech, career and self-study.

My goal is always to minimize effort and maximise outcome.

I basically refuse to do extra work to achieve my goals (which is why I love AI…)",UC2UXDak6o7rBm23k3Vv5dww,2022-01-10T11:22:52.797667Z
lolo sagini,"Don't wait for the perfect moment, take the moment and make it perfect. 

Lolo Sagini's channel is about everything to do with Fashion, Lifestyles and cultures of the world and the Places to visit in the world. The channel with also have a challenge videos and other fun stuff :)",UC2XCF1gU42iIhuy3YjQZNKQ,2018-04-06T21:30:40.500831Z
Stitch Fix Multithreaded,,UC2ZuO5Vbb8aux8QA-BVfXDQ,2020-05-28T22:24:35.219127Z
engineerguy,Bill Hammack explores the world of engineering,UC2bkHVIDjXS7sgrgjFtzOXQ,2016-06-29T21:24:38Z
DABRATTV,,UC2dliSwCHKn32FxfVrCscmw,2018-04-27T23:34:57.931004Z
Cardi B,"Cardi B on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC2iQXWB3Yvz1DSMbdnNRrPw,2018-04-03T14:26:02.841068Z
Random Nchuri,Random doesnt get more random than me. So why not let my channel show you this :),UC2kEJpc4SJmj1_J-F4Q09pA,2015-07-01T12:11:16Z
emimusic,Official EMI Music Channel on VEVO.,UC2kTZB_yeYgdAg4wP2tEryA,2016-02-02T23:01:35Z
Seether,"Seether on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC2lkUzsiOARl3nwZDeZus3g,2018-04-16T01:05:18.129666Z
Naitwa Kiki,Let's keep this a secret :),UC2mqJfUv6Ho8uxHZEJa6O9Q,2017-09-11T19:58:45Z
Jaytakeapic,Lifestyle blogger trying to figure out how I can make a difference in the world with great content and positive vibes.,UC2pIiLxkTwjYDVi59AN_5Gw,2017-10-30T18:49:18Z
Fall Out Boy,20 years of From Under The Cork Tree 🌳🖤,UC2qWxZHgnlwDvcmLqP23jrA,2018-05-11T01:07:20.112788Z
THE BULLS FAMILY,"LIFESTYLE, FAMILY, BEAUTY

MANAGED BY KRINCH KING


Follow Dorea Chege on

Instagram : https://www.instagram.com/dorea_chege/
YouTube : https://www.youtube.com/channel/UC2uA832Z_va8uhijeMrSAaQ
Tiktok : https://vm.tiktok.com/ZMNQVj15g/
Facebook : https://www.facebook.com/Dorea-Chege-Official-109939555153030/

Follow Dj Dibul on 

Instagram : https://instagram.com/dj_dibul?igshid=YmMyMTA2M2Y=
Facebook : https://www.facebook.com/djdibul/
Tiktok : https://www.tiktok.com/@dj_dibul?_t=8UkVpeotaib&_r=1",UC2uA832Z_va8uhijeMrSAaQ,2021-02-21T10:48:15.067299Z
Turnup.Travel Experiences,"Turnup.Travel is an African travel brand for themed experiences, storytelling, and social impact 

Book hotels, flights, and unique tours at www.turnup.travel in Africa. You can request custom itineraries in and out of Kenya .

Book guides and transfers as well as activities through Turnup Rides. 

Turnup in Motion is a vlogumentary series on Youtube developed as an exhililirating adventure travel show.

Turnup Studios produces travel media for destination marketing and bespoke content for brands using locations in Kenya. We do the heavylifting for you.
.
Turnup for Good creates opportunities to experience realities, support initiatives, document progress and
essentially, give back to society. Our work is around 3Cs - consciousness, community, and conservation

Reservations@turnup.travel",UC2uKvoTBgiD9L4p4ovlhCtg,2018-05-18T16:33:31.85786Z
Mister Jemedari,,UC2vyc0qxq_LSJkqedLsCvbQ,2023-11-21T05:24:03.570441Z
Open Institute,"Open Institute, About us:
 
We are a non-profit organisation based in Nairobi, Kenya that collaborates with Governments, Civil Society Organisations, Citizen Groups and Private Sector companies to find innovative ways to achieve Sustainable Development.

Our mandate is to work with governments (at national, subnational and hyperlocal levels) as well as citizens, CSOs and other stakeholders to promote Responsive Governments (that have the necessary capacity to listen and engage fruitfully with citizens) and Active Citizenship by citizens who are informed and fact-driven.

Our Mission:

Our Mission is to collaborate with governments, citizens, civil society organisations and other players to develop policies, tools and knowledge that strengthen citizens’ voices in the governance and development in their societies.

We Are Open.",UC2xe-UTLYNS5AqTuFtat-Bg,2018-10-11T18:12:20.788172Z
Rihanna,"Rihanna on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC2xskkQVFEpLcGFnNSLQY0A,2018-05-11T01:07:20.188736Z
lacunacoil,,UC2yGvqVB_kK0FC1eUifENGQ,2018-04-25T23:31:31.49938Z
Okwantuni,The journey of an African American woman living her life in Kenya with her small family.,UC32CbYj1mTnofF-0gaJtACQ,2018-11-03T07:03:51.821677Z
BABYMETAL,"BABYMETAL YouTube Official Channel

💿4th Album ""METAL FORTH"" OUT NOW",UC33_tIj4m1_XaqfFcomShvw,2017-05-19T20:26:33Z
KiarieHikes,One step/trek/climb at a time.,UC356_Nmu8N48M-IEbzgS7GQ,2023-05-06T14:15:47.489901Z
O'Reilly,"O’Reilly is best known for helping tech teams stay ahead. And for good reason—we’ve been sharing the knowledge of innovators for over 45 years. But we also offer droves of content to help with marketing, management training, and more.

https://www.oreilly.com",UC3BGlwmI-Vk6PWyMt15dKGw,2015-05-07T14:25:50Z
